Open,High,Low,Close
5.085890,5.170770,4.965950,5.058550
5.065430,5.065430,4.579960,4.685230
4.687290,4.755820,4.254350,4.327770
4.329200,4.616080,4.202190,4.286440
4.263070,4.300130,4.154990,4.245920
4.245930,4.416880,4.210130,4.242350
4.239990,4.881350,4.188870,4.746570
4.744200,4.745120,4.627690,4.666790
4.665880,4.671320,4.448700,4.514650
4.509930,4.551820,4.388800,4.433590
4.434390,4.489240,4.397990,4.421800
4.424620,4.457610,4.202780,4.233230
4.237630,4.330250,4.198100,4.246790
4.252190,4.549010,4.225930,4.474730
4.470960,4.503740,4.384860,4.428560
4.430150,4.463480,4.286230,4.322660
4.319360,4.340310,4.164040,4.175120
4.173130,4.284040,3.888010,3.938200
3.942070,4.043420,3.480600,3.699140
3.703050,3.914860,3.572250,3.822370
3.813330,3.949860,3.688210,3.858630
3.855470,3.929890,3.747830,3.907890
3.908620,4.028760,3.865290,3.900660
3.898860,3.915890,3.774250,3.807390
3.795920,3.838970,3.677920,3.772660
3.776580,3.851470,3.696040,3.850330
3.846440,3.895740,3.791180,3.861780
3.864520,4.229110,3.864520,4.075910
4.076990,4.076990,3.992750,4.056420
4.057740,4.096800,3.958760,3.990890
3.991440,4.016030,3.953910,3.993270
3.991630,4.087730,3.954710,4.055760
4.056430,4.061460,3.974440,3.988940
3.983570,3.983570,3.877480,3.909830
3.911800,3.969940,3.900360,3.940010
3.940950,3.959960,3.838580,3.843320
3.846970,3.866060,3.726570,3.739650
3.739490,3.779810,3.724500,3.747530
3.748730,3.759840,3.629040,3.667550
3.668950,3.767370,3.661530,3.727180
3.724060,3.893320,3.713070,3.807310
3.812270,3.896580,3.794680,3.846070
3.852880,3.853330,3.720400,3.726950
3.734500,3.819170,3.719530,3.785860
3.784650,3.804540,3.745320,3.754000
3.756660,3.757150,3.559100,3.570590
3.576880,3.622910,3.554500,3.585100
3.585910,3.661750,3.556390,3.578060
3.580420,3.619530,3.547650,3.591760
3.590310,3.671090,3.590310,3.644850
3.642140,3.667410,3.618750,3.649560
3.649670,3.661960,3.554990,3.557370
3.556650,3.578750,3.532330,3.556260
3.554840,3.637300,3.546940,3.631460
3.632160,3.731090,3.593560,3.695630
3.698510,3.737800,3.674360,3.675890
3.679730,4.141510,3.679730,4.068610
4.132990,4.350220,4.019380,4.097660
4.085500,4.091200,3.861640,3.989370
3.992260,4.037660,3.809750,3.854330
3.841190,3.900950,3.825990,3.883630
3.880560,3.996990,3.830480,3.877440
3.875150,3.906040,3.751870,3.770160
